Category,A,B,C,Volume,vol_reduce(%),Clean_Comp_MPa,Clean_Tens_MPa,Max_Disp_mm,Phi_Comp,Gamma_Allie,Omega_Stiff,ALLIE,SEI_J_Index,Phi_Comp_Norm,Gamma_Allie_Norm,Omega_Stiff_Norm,vol_reduce(%)_Norm,SEI_J_Index_Rigorous,SEI_Score_100
S,0.0,40.0,0.0,12.430336,28.97,-4.143,1.752,4.766,0.2201,0.688,6.0167,463.3474,2.2852,0.4677,0.4193,0.111,0.8522,0.5283,52.83
S,0.0,40.0,0.0,12.462686,28.78,-4.143,1.752,4.766,0.2201,0.688,6.0011,463.3474,2.28,0.4677,0.4193,0.1102,0.8478,0.5267,52.67
S,0.0,40.0,0.0,13.800423,21.14,-4.143,1.752,4.766,0.2201,0.688,5.4194,463.3474,2.0881,0.4677,0.4193,0.0795,0.6711,0.4627,46.27
S,0.0,40.0,5.0,12.244767,30.03,-5.119,2.471,6.0,0.1729,0.4444,4.8517,717.386,1.8048,0.1772,0.145,0.0496,0.8767,0.3837,38.37
S,0.0,40.0,10.0,11.312739,35.36,-4.389,2.05,5.053,0.1936,0.6169,6.2356,516.7325,2.3252,0.3046,0.3393,0.1225,1.0,0.5118,51.18
S,0.0,40.0,10.0,13.414347,23.35,-4.389,2.05,5.053,0.1936,0.6169,5.2587,516.7325,2.0028,0.3046,0.3393,0.071,0.7222,0.4106,41.06
S,0.0,40.0,15.0,13.805753,21.11,-4.195,1.69,4.764,0.2194,0.6893,5.4195,462.5024,2.0883,0.4634,0.4208,0.0795,0.6704,0.4613,46.13
S,0.0,40.0,20.0,13.79626,21.16,-4.148,1.732,4.788,0.2131,0.6872,5.3961,463.8828,2.0778,0.4246,0.4184,0.0783,0.6715,0.4481,44.81
S,0.0,44.0,5.0,12.348708,29.44,-4.849,2.462,5.852,0.1711,0.4572,4.9325,697.1991,1.8351,0.1662,0.1594,0.0538,0.8631,0.3786,37.86
S,0.0,48.0,0.0,12.454836,28.83,-4.014,1.572,4.596,0.2134,0.7019,6.227,454.1378,2.357,0.4265,0.435,0.1221,0.8489,0.518,51.8
S,0.0,48.0,0.0,13.86737,20.76,-4.014,1.572,4.596,0.2134,0.7019,5.5927,454.1378,2.1476,0.4265,0.435,0.0886,0.6623,0.4502,45.02
S,0.0,48.0,5.0,12.312284,29.64,-5.398,2.623,5.897,0.1755,0.4488,4.9094,710.3547,1.8261,0.1932,0.15,0.0526,0.8677,0.3874,38.74
S,0.0,48.0,15.0,13.767943,21.33,-4.067,1.674,4.691,0.204,0.6863,5.519,464.4968,2.1151,0.3686,0.4174,0.0847,0.6755,0.4317,43.17
S,0.0,48.0,20.0,13.771858,21.3,-4.07,1.645,4.691,0.2047,0.686,5.5174,464.6891,2.1147,0.3729,0.4171,0.0847,0.6748,0.4329,43.29
S,0.0,52.0,0.0,12.245383,30.03,-4.314,2.046,5.074,0.1959,0.6053,5.7368,526.6166,2.1575,0.3188,0.3262,0.0962,0.8767,0.4689,46.89
S,0.0,52.0,0.0,13.25993,24.23,-4.314,2.046,5.074,0.1959,0.6053,5.2979,526.6166,2.0127,0.3188,0.3262,0.0731,0.7425,0.4203,42.03
S,0.0,52.0,5.0,11.762031,32.79,-7.447,3.323,7.508,0.166,0.3156,4.0363,1009.9213,1.4909,0.1348,0.0,0.0066,0.9406,0.3596,35.96
S,0.0,52.0,10.0,12.56242,28.21,-5.362,2.716,6.273,0.1753,0.4304,4.5232,740.6545,1.6925,0.192,0.1293,0.0322,0.8346,0.3691,36.91
S,0.0,52.0,15.0,12.768102,27.04,-4.856,2.499,5.806,0.1841,0.4827,4.8083,660.4581,1.8068,0.2462,0.1882,0.0473,0.8075,0.3905,39.05
S,0.0,52.0,20.0,13.254011,24.26,-4.313,2.073,5.068,0.1967,0.6045,5.3065,527.3406,2.0155,0.3237,0.3253,0.0735,0.7432,0.4221,42.21
S,0.0,56.0,0.0,12.391332,29.19,-3.756,1.434,4.556,0.2081,0.7089,6.3138,449.6777,2.3862,0.3938,0.4429,0.1267,0.8573,0.512,51.2
S,0.0,56.0,0.0,14.074561,19.57,-3.756,1.434,4.556,0.2081,0.7089,5.5587,449.6777,2.137,0.3938,0.4429,0.0868,0.6347,0.4311,43.11
S,0.0,56.0,5.0,12.439553,28.92,-5.146,2.502,5.784,0.18,0.4541,4.9541,701.931,1.8441,0.2209,0.156,0.055,0.851,0.3925,39.25
S,0.0,56.0,10.0,14.070429,19.6,-3.76,1.444,4.555,0.2077,0.7093,5.5616,449.4359,2.1379,0.3914,0.4433,0.087,0.6354,0.4306,43.06
S,0.0,56.0,15.0,13.904427,20.55,-4.075,1.474,4.557,0.2052,0.6938,5.6255,459.4712,2.1531,0.376,0.4259,0.0904,0.6574,0.4305,43.05
S,0.0,56.0,20.0,14.07456,19.57,-3.792,1.451,4.558,0.2074,0.7091,5.5563,449.5447,2.136,0.3895,0.4431,0.0867,0.6347,0.4297,42.97
S,0.0,60.0,5.0,12.347674,29.44,-5.511,2.563,5.956,0.1792,0.4322,4.8468,737.614,1.8012,0.216,0.1313,0.0493,0.8631,0.3898,38.98
S,0.0,64.0,0.0,12.341515,29.48,-4.126,1.547,4.528,0.1951,0.6741,6.3785,472.9063,2.3917,0.3138,0.4037,0.1301,0.864,0.4816,48.16
S,0.0,64.0,0.0,13.881715,20.68,-4.126,1.547,4.528,0.1951,0.6741,5.6708,472.9063,2.1582,0.3138,0.4037,0.0927,0.6604,0.4075,40.75
S,0.0,64.0,5.0,12.449651,28.86,-4.907,2.543,5.853,0.1807,0.4331,4.8917,736.1179,1.8168,0.2252,0.1323,0.0517,0.8496,0.3889,38.89
S,0.0,64.0,10.0,13.876371,20.71,-4.178,1.536,4.533,0.1956,0.6734,5.6667,473.3646,2.1568,0.3169,0.4029,0.0925,0.6611,0.4086,40.86
S,0.0,64.0,15.0,13.845327,20.88,-4.095,1.554,4.525,0.1966,0.6702,5.6895,475.6607,2.1636,0.3231,0.3993,0.0937,0.665,0.4115,41.15
S,0.0,68.0,0.0,12.333831,29.52,-4.255,1.541,4.545,0.1965,0.6601,6.3586,482.8994,2.381,0.3225,0.3879,0.129,0.8649,0.482,48.2
S,0.0,68.0,0.0,13.836082,20.94,-4.255,1.541,4.545,0.1965,0.6601,5.6682,482.8994,2.1532,0.3225,0.3879,0.0926,0.6664,0.4097,40.97
S,0.0,68.0,5.0,12.476894,28.7,-4.697,2.548,5.862,0.18,0.4285,4.8735,743.8732,1.8091,0.2209,0.1271,0.0507,0.8459,0.3852,38.52
S,0.0,68.0,10.0,13.830512,20.97,-4.215,1.567,4.546,0.195,0.6603,5.6693,482.7488,2.1531,0.3132,0.3881,0.0927,0.6671,0.4069,40.69
S,0.0,68.0,15.0,13.89142,20.62,-4.12,1.593,4.551,0.1939,0.6658,5.6382,478.8291,2.1443,0.3065,0.3943,0.091,0.659,0.4027,40.27
S,0.0,68.0,20.0,13.836083,20.94,-4.256,1.544,4.545,0.197,0.6601,5.6682,482.8926,2.1533,0.3255,0.3879,0.0926,0.6664,0.4107,41.07
S,0.0,72.0,0.0,12.285777,29.8,-4.155,1.604,4.564,0.1945,0.6531,6.3569,488.0967,2.3775,0.3102,0.38,0.1289,0.8714,0.4787,47.87
S,0.0,72.0,0.0,13.851589,20.85,-4.155,1.604,4.564,0.1945,0.6531,5.6383,488.0967,2.1403,0.3102,0.38,0.091,0.6644,0.4034,40.34
S,0.0,72.0,5.0,12.504996,28.54,-4.713,2.604,5.879,0.1814,0.4234,4.8485,752.9037,1.7996,0.2295,0.1214,0.0494,0.8422,0.3857,38.57
S,0.0,72.0,10.0,13.847138,20.87,-4.076,1.586,4.561,0.1937,0.6531,5.6438,488.1033,2.1419,0.3052,0.38,0.0913,0.6648,0.4019,40.19
S,0.0,72.0,15.0,13.832722,20.96,-4.176,1.577,4.558,0.1948,0.6514,5.6534,489.3575,2.1449,0.312,0.3781,0.0918,0.6669,0.4046,40.46
S,0.0,72.0,20.0,13.832722,20.96,-4.187,1.583,4.557,0.1954,0.6516,5.6547,489.2599,2.1456,0.3157,0.3783,0.0919,0.6669,0.4059,40.59
S,0.0,76.0,5.0,12.645633,27.74,-4.456,2.5,5.881,0.1744,0.4384,4.7929,727.0652,1.7839,0.1865,0.1383,0.0465,0.8237,0.3675,36.75
S,0.0,80.0,0.0,12.247436,30.01,-4.434,1.649,4.586,0.191,0.6348,6.3462,502.1692,2.3668,0.2886,0.3594,0.1284,0.8762,0.4696,46.96
S,0.0,80.0,0.0,13.842407,20.9,-4.434,1.649,4.586,0.191,0.6348,5.615,502.1692,2.1255,0.2886,0.3594,0.0898,0.6655,0.3929,39.29
S,1.0,40.0,0.0,11.958762,31.66,-5.122,2.022,5.445,0.1554,0.5483,5.4741,581.4164,2.0387,0.0695,0.262,0.0824,0.9144,0.3854,38.54
S,1.0,40.0,0.0,11.963304,31.64,-5.122,2.022,5.445,0.1554,0.5483,5.472,581.4164,2.038,0.0695,0.262,0.0823,0.9139,0.3852,38.52
S,1.0,40.0,0.0,12.891809,26.33,-5.122,2.022,5.445,0.1554,0.5483,5.0779,581.4164,1.9079,0.0695,0.262,0.0615,0.7911,0.3408,34.08
S,1.0,40.0,5.0,11.955485,31.68,-8.766,2.453,6.924,0.151,0.3688,4.306,864.4148,1.5925,0.0425,0.0599,0.0208,0.9149,0.3326,33.26
S,1.0,40.0,15.0,12.909012,26.23,-5.148,1.921,5.287,0.1546,0.563,5.2227,566.2073,1.9603,0.0646,0.2786,0.0691,0.7888,0.3424,34.24
S,1.0,40.0,20.0,12.909012,26.23,-5.132,1.925,5.287,0.1542,0.5629,5.2227,566.274,1.9601,0.0622,0.2785,0.0691,0.7888,0.3416,34.16
