A,B,C,D,Volume,Height,H2
0.00,-60.00,2.00,1.00,10.684972,1988.237736,4.587351
1.00,-60.00,2.00,1.00,11.060418,1545.514995,2.340425
2.00,-60.00,2.00,1.00,10.263902,1600.471646,2.565286
3.00,-60.00,2.00,1.00,11.525675,1363.410002,2.033244
4.00,-60.00,2.00,1.00,10.130285,1749.554578,2.237491
5.00,-60.00,2.00,1.00,10.061117,1763.524632,2.563967
6.00,-60.00,2.00,1.00,11.228928,1644.182855,2.281569
7.00,-60.00,2.00,1.00,10.803167,1564.630346,2.139298
8.00,-60.00,2.00,1.00,10.548224,1447.623738,1.989238
9.00,-60.00,2.00,1.00,10.858424,1279.387955,1.830260
10.00,-60.00,2.00,1.00,11.203348,1789.455794,2.261911
0.00,-57.00,2.00,1.00,10.246874,2091.446797,4.702301
1.00,-57.00,2.00,1.00,11.189582,1625.914142,2.421566
2.00,-57.00,2.00,1.00,10.164288,1683.858080,2.650404
3.00,-57.00,2.00,1.00,11.464487,1434.192509,2.104829
4.00,-57.00,2.00,1.00,10.084735,1841.313652,2.329844
5.00,-57.00,2.00,1.00,9.933509,1854.908245,2.656774
6.00,-57.00,2.00,1.00,11.112758,1729.560082,2.367723
7.00,-57.00,2.00,1.00,10.804181,1645.682384,2.220993
8.00,-57.00,2.00,1.00,10.384920,1523.133552,2.065155
9.00,-57.00,2.00,1.00,10.708400,1345.571500,1.896798
10.00,-57.00,2.00,1.00,11.375280,1880.994500,2.356767
0.00,-54.00,2.00,1.00,10.300859,2205.971269,4.829925
1.00,-54.00,2.00,1.00,11.090881,1715.113909,2.511617
2.00,-54.00,2.00,1.00,10.053165,1776.244761,2.744747
3.00,-54.00,2.00,1.00,11.319025,1512.673742,2.184241
4.00,-54.00,2.00,1.00,9.965854,1943.151364,2.432342
5.00,-54.00,2.00,1.00,9.941356,1956.125271,2.759648
6.00,-54.00,2.00,1.00,10.940011,1824.232911,2.463288
7.00,-54.00,2.00,1.00,10.682797,1735.524792,2.311564
8.00,-54.00,2.00,1.00,10.330943,1606.923836,2.149416
9.00,-54.00,2.00,1.00,10.608335,1418.873154,1.970540
10.00,-54.00,2.00,1.00,10.994561,1987.752955,2.461492
0.00,-51.00,2.00,1.00,9.357040,2333.625993,4.973180
1.00,-51.00,2.00,1.00,10.954985,1814.585372,2.612105
2.00,-51.00,2.00,1.00,9.938565,1879.400929,2.850216
3.00,-51.00,2.00,1.00,11.035005,1600.173795,2.272827
4.00,-51.00,2.00,1.00,9.878916,2056.875105,2.546816
5.00,-51.00,2.00,1.00,10.028502,2069.005790,2.874479
6.00,-51.00,2.00,1.00,10.900892,1929.778002,2.569866
7.00,-51.00,2.00,1.00,10.558058,1835.654996,2.412529
8.00,-51.00,2.00,1.00,10.105354,1700.428076,2.243470
9.00,-51.00,2.00,1.00,10.677090,1500.556913,2.052702
10.00,-51.00,2.00,1.00,10.885297,2104.342372,2.578866
0.00,-48.00,2.00,1.00,10.050697,2476.735252,5.133570
1.00,-48.00,2.00,1.00,10.924256,1926.278719,2.724960
2.00,-48.00,2.00,1.00,9.850172,1995.222259,2.968772
3.00,-48.00,2.00,1.00,11.004143,1698.330971,2.372263
4.00,-48.00,2.00,1.00,9.816586,2184.698574,2.675503
5.00,-48.00,2.00,1.00,9.845993,2195.555046,3.003336
6.00,-48.00,2.00,1.00,10.783104,2048.188205,2.689483
7.00,-48.00,2.00,1.00,10.491978,1947.966155,2.525801
8.00,-48.00,2.00,1.00,10.141215,1805.433510,2.349123
9.00,-48.00,2.00,1.00,10.569190,1592.141191,2.144876
10.00,-48.00,2.00,1.00,10.839916,2232.913458,2.708703
0.00,-45.00,2.00,1.00,9.181024,2638.710078,5.315014
1.00,-45.00,2.00,1.00,10.343691,2052.466687,2.852567
2.00,-45.00,2.00,1.00,7.680000,2126.351710,3.103191
3.00,-45.00,2.00,1.00,10.744605,1809.202520,2.484650
4.00,-45.00,2.00,1.00,9.755364,2329.422269,2.821227
5.00,-45.00,2.00,1.00,9.834365,2338.470790,3.149009
6.00,-45.00,2.00,1.00,10.579517,2181.933807,2.824653
7.00,-45.00,2.00,1.00,10.365109,2074.781748,2.653734
8.00,-45.00,2.00,1.00,9.978410,1924.195455,2.468654
9.00,-45.00,2.00,1.00,10.625888,1697.928983,2.249073
10.00,-45.00,2.00,1.00,10.761663,2383.650199,2.859960
0.00,-42.00,2.00,1.00,9.110836,2823.019151,5.521598
1.00,-42.00,2.00,1.00,9.959822,2196.258948,2.997989
2.00,-42.00,2.00,1.00,9.696170,2275.403165,3.256111
3.00,-42.00,2.00,1.00,10.391876,1935.408100,2.612670
4.00,-42.00,2.00,1.00,9.752830,2494.720849,2.987699
5.00,-42.00,2.00,1.00,9.658355,2501.186656,3.315081
6.00,-42.00,2.00,1.00,10.383467,2334.192624,2.978609
7.00,-42.00,2.00,1.00,10.118517,2219.175395,2.799442
8.00,-42.00,2.00,1.00,9.934891,2059.589572,2.604969
9.00,-42.00,2.00,1.00,10.229016,1812.979831,2.367236
10.00,-42.00,2.00,1.00,10.567610,2552.809917,3.030267
0.00,-39.00,2.00,1.00,9.142789,3034.738835,5.758068
1.00,-39.00,2.00,1.00,9.700041,2361.596917,3.165348
2.00,-39.00,2.00,1.00,9.670386,2447.117953,3.432608
3.00,-39.00,2.00,1.00,10.457709,2080.341093,2.759795
4.00,-39.00,2.00,1.00,9.994274,2685.158407,3.179528
5.00,-39.00,2.00,1.00,9.774994,2688.040425,3.506000
6.00,-39.00,2.00,1.00,10.134801,2509.059789,3.155522
7.00,-39.00,2.00,1.00,10.116160,2384.828778,2.966652
8.00,-39.00,2.00,1.00,9.770438,2215.371110,2.761866
9.00,-39.00,2.00,1.00,10.210877,1947.708681,2.502964
10.00,-39.00,2.00,1.00,10.542292,2747.832494,3.226575
0.00,-36.00,2.00,1.00,9.018231,3280.749741,6.032740
1.00,-36.00,2.00,1.00,9.897012,2553.684517,3.359893
2.00,-36.00,2.00,1.00,9.627575,2646.894875,3.638303
3.00,-36.00,2.00,1.00,10.000843,2275.995880,2.959097
4.00,-36.00,2.00,1.00,9.871558,2907.090161,3.403131
5.00,-36.00,2.00,1.00,9.478436,2904.834353,3.727875
